 month,Rev. Aggregate,Rev. 2 BR,Rev. 3 BR,Rev. 4 BR,Rev. 5 BR,Rev. 6 BR,Occ. Aggregate,Occ. 2 BR,Occ. 3 BR,Occ. 4 BR,Occ. 5 BR,Occ. 6 BR,BW Aggregate,BW 2 BR,BW 3 BR,BW 4 BR,BW 5 BR,BW 6 BR,LOS Aggregate,LOS 2 BR,LOS 3 BR,LOS 4 BR,LOS 5 BR,LOS 6 BR,RevPAR Aggregate,RevPAR 2 BR,RevPAR 3 BR,RevPAR 4 BR,RevPAR 5 BR,RevPAR 6 BR,ADR Aggregate,ADR 2 BR,ADR 3 BR,ADR 4 BR,ADR 5 BR,ADR 6 BR
2022-08,5018,3918,5954,7990,8396,6421,71,76,68,61,52,31,29,25,38,30,16,102,6,7,5,4,6,3,162,127,193,258,271,207,266,182,313,504,625,722
2022-09,5343,4162,6065,8819,10296,5580,75,79,73,68,57,21,37,28,59,33,25,152,6,6,5,4,7,3,178,139,202,294,343,186,272,193,308,488,680,697
2022-10,4630,3602,5447,7814,6639,6909,65,68,62,59,42,37,29,25,42,15,47,47,6,6,5,5,6,7,149,116,176,252,214,223,265,190,303,506,534,495
2022-11,3475,2558,4820,5410,3284,8863,55,55,61,47,27,40,27,27,23,34,45,23,7,7,7,8,4,6,116,85,161,180,109,295,240,170,292,443,414,631
2022-12,3295,2440,3955,6228,4200,4747,52,53,51,52,32,33,27,23,34,35,22,28,7,7,6,8,5,6,107,79,128,202,135,153,239,166,287,472,423,479
2023-01,2804,2245,3101,5029,3260,4128,49,53,47,43,28,23,21,18,21,29,46,23,10,12,7,5,4,4,90,72,100,162,105,133,215,150,249,441,361,462
2023-02,2607,2096,2868,4717,2317,7058,50,54,46,46,22,54,22,19,27,26,35,45,9,9,8,7,8,58,93,75,102,168,83,252,216,155,247,430,373,370
2023-03,3549,2620,4134,6994,3843,9953,57,60,55,55,32,58,24,19,26,38,41,49,7,7,6,4,8,58,115,85,134,226,124,321,235,161,275,491,416,562
2023-04,3554,2725,4409,5394,5980,7049,59,62,58,49,56,42,29,26,33,44,5,39,6,6,5,5,23,4,119,91,147,180,199,235,232,161,282,446,427,475
2023-05,4108,3323,4490,7285,4614,7454,65,69,59,66,32,39,36,32,46,41,32,18,6,7,5,5,4,5,132,107,145,235,149,240,244,174,282,457,509,461
2023-06,5562,4197,6442,10167,8459,8736,76,79,75,71,56,36,43,36,53,58,40,74,5,6,5,4,4,4,186,140,215,339,282,291,280,197,320,531,609,840
2023-07,5874,4445,6818,10178,9936,12878,74,76,74,68,64,35,41,39,41,49,36,153,5,5,5,4,5,3,190,144,221,328,321,415,301,217,329,587,587,997
2023-08,4754,3545,5499,8086,9500,11601,65,67,64,57,60,47,30,25,28,53,26,147,5,5,5,4,4,3,153,114,177,262,306,374,277,191,317,541,604,919
2023-09,4982,3863,5558,8936,7595,8977,68,72,64,62,53,43,37,33,37,53,36,86,5,5,4,4,4,3,166,129,185,298,253,299,280,197,326,533,558,681
2023-10,3960,3178,4490,6773,5004,4550,58,62,53,52,41,15,34,31,43,36,14,108,5,5,4,4,4,3,128,103,145,218,163,147,273,195,320,520,470,823
2023-11,3021,2259,3312,6165,4246,4004,45,47,40,48,36,24,32,28,37,41,31,44,6,6,6,4,5,4,100,75,110,205,142,133,257,181,303,506,427,638
