 ListingID,Link,Host ID,Listing Type,lat,lng,Bedrooms,Bathrooms,Base Guests,Star Rating,Reviews,Price,Occupancy,Revenue,Active Nights,Min Stay,Booking Window,LOS,Dynamic Pricing,Professionally Managed,Beachfront,Hottub,Kitchen,Pets Allowed,Pool,EV Charger,new_listing,id
360,https://www.airbnb.com/rooms/360,666,Entire guesthouse,39.7664146423,-105.0020980835,2,1.0,3,4.99,179,109.0,86.0,33656.0,306.0,30,23.0,32.0,High,Small,No,Yes,Yes,No,No,No,0,349
632709,https://www.airbnb.com/rooms/632709,2157095,Entire townhouse,39.76468,-105.00883,2,2.0,4,4.88,162,143.0,67.0,11705.0,139.0,29,5.0,1.0,None,Small,No,No,Yes,Yes,No,No,0,350
665622,https://www.airbnb.com/rooms/665622,3364096,Entire rental unit,39.7616,-105.01235,2,1.0,4,4.72,857,146.0,83.0,13967.0,197.0,29,32.0,29.0,None,Small,No,No,Yes,No,No,No,0,351
1041934,https://www.airbnb.com/rooms/1041934,5811115,Entire guest suite,39.78027,-105.03808,2,1.0,4,4.89,38,214.0,76.0,17584.0,259.0,30,36.0,30.0,Moderate,Small,No,No,Yes,Yes,No,Yes,0,352
1069351,https://www.airbnb.com/rooms/1069351,3577356,Entire home,39.77389,-105.0106,2,1.5,4,4.6,5,100.0,65.0,5640.0,92.0,30,43.0,60.0,None,Individual,No,No,Yes,No,No,No,0,353
1581384,https://www.airbnb.com/rooms/1581384,8410190,Entire rental unit,39.76779,-105.05005,2,1.0,2,4.63,84,124.0,81.0,13704.0,222.0,30,45.0,30.0,None,Small,No,No,Yes,No,No,No,0,354
2827887,https://www.airbnb.com/rooms/2827887,5181201,Entire home,39.7682,-105.00232,2,2.0,4,4.7,20,150.0,75.0,9210.0,105.0,30,136.5,30.0,None,Small,No,No,Yes,No,No,No,0,355
3094167,https://www.airbnb.com/rooms/3094167,8410190,Entire home,39.76169,-105.03382,2,1.5,2,4.79,38,500.0,6.0,2615.0,284.0,30,66.0,1.0,None,Small,No,No,Yes,Yes,No,No,0,356
3810191,https://www.airbnb.com/rooms/3810191,7879432,Entire bungalow,39.77321,-105.02888,2,1.0,4,4.78,46,125.0,90.0,28359.0,258.0,3,2.5,2.0,None,Small,No,No,Yes,Yes,No,No,0,357
4180622,https://www.airbnb.com/rooms/4180622,5416557,Entire guesthouse,39.77658,-105.04629,2,1.0,3,4.93,239,150.0,34.0,13421.0,322.0,30,4.0,18.0,None,Small,No,No,Yes,No,No,No,0,358
4817072,https://www.airbnb.com/rooms/4817072,3404287,Entire home,39.76294,-105.01121,2,1.0,5,4.64,333,99.0,78.0,5546.0,76.0,29,193.0,16.0,None,Individual,No,No,Yes,Yes,No,No,0,359
7004475,https://www.airbnb.com/rooms/7004475,27502851,Entire home,39.77981,-105.02338,2,1.0,3,5.0,2,200.0,24.0,3131.0,132.0,29,0.0,31.0,None,Individual,No,No,Yes,No,No,No,1,360
7603546,https://www.airbnb.com/rooms/7603546,18274641,Entire home,39.76502,-105.03364,2,2.0,6,4.84,288,225.0,90.0,59045.0,270.0,29,15.0,8.0,None,Small,No,No,Yes,Yes,No,No,0,361
7931953,https://www.airbnb.com/rooms/7931953,6065807,Entire home,39.7608150245,-105.0185825292,2,1.0,5,4.82,710,250.0,72.0,50512.0,344.0,1,22.5,3.0,High,Small,No,No,Yes,Yes,No,No,0,362
7948813,https://www.airbnb.com/rooms/7948813,41917396,Entire home,39.7561,-105.04096,2,1.0,4,4.86,290,149.0,87.0,35592.0,350.0,1,24.0,3.0,None,Individual,No,No,Yes,No,No,No,0,363
