 ListingID,Link,Host ID,Listing Type,lat,lng,Bedrooms,Bathrooms,Base Guests,Star Rating,Reviews,Price,Occupancy,Revenue,Active Nights,Min Stay,Booking Window,LOS,Dynamic Pricing,Professionally Managed,Beachfront,Hottub,Kitchen,Pets Allowed,Pool,EV Charger,new_listing,id
1278360,https://www.airbnb.com/rooms/1278360,6956910,Entire rental unit,43.65382,-70.2708,Studio,1.0,2,4.78,347,175.0,22.0,4900.0,125.0,7,379.0,2.0,None,Small,No,No,Yes,No,No,No,0,0
1486036,https://www.airbnb.com/rooms/1486036,7948601,Entire rental unit,43.8556556702,-70.0986022949,Studio,1.0,4,4.7,460,135.0,65.0,29128.0,332.0,1,41.0,1.0,Moderate,Individual,No,No,Yes,Yes,No,No,0,1
2128047,https://www.airbnb.com/rooms/2128047,7552693,Entire guesthouse,43.67963,-70.25192,Studio,1.0,2,4.95,265,119.0,93.0,34104.0,294.0,3,48.0,5.5,Moderate,Small,Yes,No,Yes,No,No,No,0,2
10852462,https://www.airbnb.com/rooms/10852462,32605782,Entire rental unit,43.65307,-70.28393,Studio,1.0,2,4.79,406,134.0,81.0,19771.0,193.0,3,35.0,3.0,Moderate,Small,No,No,Yes,No,No,No,0,3
10934808,https://www.airbnb.com/rooms/10934808,56692771,Entire guest suite,43.64275,-70.22774,Studio,1.0,3,4.98,42,295.0,99.0,60319.0,260.0,7,27.0,4.0,None,Individual,Yes,No,Yes,Yes,No,Yes,0,4
12361621,https://www.airbnb.com/rooms/12361621,41278652,Entire cabin,43.54182,-70.34544,Studio,1.0,4,4.8,152,89.0,87.0,20142.0,171.0,3,52.5,3.0,None,Small,Yes,No,Yes,No,No,No,0,5
12623640,https://www.airbnb.com/rooms/12623640,47060495,Entire loft,43.6559371948,-70.2625045776,Studio,1.0,2,4.94,597,265.0,84.0,46696.0,348.0,2,46.0,2.0,Low,Small,No,No,Yes,No,No,No,0,6
12984958,https://www.airbnb.com/rooms/12984958,70486395,Entire cottage,43.52022,-70.36951,Studio,1.0,8,4.5,1,566.0,56.0,25729.0,92.0,3,37.0,3.0,None,Moderate,No,No,No,Yes,No,No,0,7
13254513,https://www.airbnb.com/rooms/13254513,74571604,Entire cottage,43.517,-70.3762,Studio,1.0,4,4.95,96,176.0,41.0,17694.0,218.0,2,131.0,3.0,Low,Individual,No,No,Yes,No,No,No,0,8
14110244,https://www.airbnb.com/rooms/14110244,11963348,Entire rental unit,43.65244,-70.26273,Studio,1.0,2,4.86,157,279.0,35.0,32847.0,362.0,2,50.0,2.0,None,Moderate,No,No,No,No,No,No,0,9
16413504,https://www.airbnb.com/rooms/16413504,39757766,Entire condo,43.53981,-70.3471,Studio,1.0,2,4.81,190,90.0,52.0,26731.0,350.0,2,46.5,3.0,None,Small,No,No,Yes,No,No,No,0,10
17188379,https://www.airbnb.com/rooms/17188379,1707948,Entire guest suite,43.64349,-70.23149,Studio,1.0,2,4.97,205,158.0,91.0,30740.0,221.0,2,43.0,3.0,Moderate,Individual,No,No,No,No,No,No,0,11
18472439,https://www.airbnb.com/rooms/18472439,128120326,Entire guesthouse,43.35663,-70.47922,Studio,1.0,2,4.65,175,165.0,51.0,19630.0,224.0,3,42.5,3.0,Low,Small,No,No,Yes,No,Yes,No,0,12
18786561,https://www.airbnb.com/rooms/18786561,21397066,Entire guest suite,43.634651,-70.240303,Studio,1.0,4,4.9,193,109.0,81.0,31721.0,363.0,2,34.0,2.0,Moderate,Individual,No,No,Yes,No,No,No,0,13
18914896,https://www.airbnb.com/rooms/18914896,56824401,Entire loft,43.50859,-70.3814,Studio,1.0,2,4.89,122,165.0,73.0,18445.0,177.0,2,63.0,2.0,None,Individual,No,No,Yes,No,No,No,0,14
19051341,https://www.airbnb.com/rooms/19051341,50676621,Entire rental unit,43.66235,-70.25683,Studio,1.0,2,4.95,362,174.0,100.0,46610.0,318.0,2,132.0,3.0,Moderate,Individual,No,No,No,Yes,No,No,0,15
19285275,https://www.airbnb.com/rooms/19285275,134009457,Entire condo,43.54162,-70.34603,Studio,1.0,4,4.85,216,175.0,86.0,17298.0,147.0,1,21.0,3.0,None,Small,No,No,Yes,No,No,No,0,16
19364028,https://www.airbnb.com/rooms/19364028,12095148,Entire rental unit,43.68107,-70.29068,Studio,1.0,2,4.6,203,75.0,64.0,13979.0,330.0,1,11.0,2.0,None,Moderate,No,No,No,Yes,No,No,0,17
19399182,https://www.airbnb.com/rooms/19399182,128747336,Entire rental unit,43.54153,-70.34458,Studio,1.0,2,4.83,569,110.0,67.0,26783.0,323.0,1,9.0,2.0,Moderate,Moderate,No,No,Yes,No,No,No,0,18
19469868,https://www.airbnb.com/rooms/19469868,39757766,Entire condo,43.54065,-70.34661,Studio,1.0,2,4.76,222,90.0,43.0,21615.0,358.0,2,49.0,2.0,None,Small,No,No,Yes,No,No,No,0,19
19592226,https://www.airbnb.com/rooms/19592226,18063035,Entire guest suite,43.69786,-70.24388,Studio,1.0,2,4.93,223,170.0,70.0,37441.0,260.0,1,9.0,2.0,None,Individual,No,No,Yes,No,No,No,0,20
19863296,https://www.airbnb.com/rooms/19863296,39757766,Entire condo,43.54065,-70.34661,Studio,1.0,2,4.78,193,95.0,53.0,26084.0,352.0,2,32.0,2.0,Low,Small,No,No,Yes,No,No,No,0,21
